,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
1561,"[u'Microsoft web developer', u'International Advanced Diploma', u'Comprehensive Programming']","[u'Altech Auto Page', u'Entegral technogies', u'Private Contractor', u'Revolution Business Solutions', u'Sybrin systems', u'Taly Computer Solutions']","[u'Vb.Net Developer', u'C#.net', u'telerik controls', u'SQL']","[u'Software Developer', u'Programmer', u'Software Support']",Free Lancer,"[u'Software Developer', u'Software Developer C#.NET']","[u'microsoft office', u'Css3', u'c#.net', u'Mxit application development', u'visual team foundation server', u'Microsoft office studio', u'telerik controls', u'Amazon services', u'aws toolkit', u'team foundation server', u'vb.net', u'sql 2014', u'ajax', u'Vb.Net Development', u'Visual Studio Team Foundation System', u'Ajax', u'Visual Source Safe', u'sql', u'Css', u'Visual studio', u'C#.net', u'Javascript']",1562
1562,"[u'BSC (Informatics)', u'Mcts 70-488', u'Certificate', u'Certificate', u'Mcsd.Net']","[u'ABSA', u'Dimension Data', u'EY', u'Harvey Jones Systems', u'Nedbank', u'Standard Bank', u'V R C Computer Solutions']","[u'head of BI', u'Head of Analytics', u'Head of MI', u'Head of MIS', u'Head of Data', u'CIO', u'Chief Data Officer', u'Digital Officer', u'MIS Manager']","[u'BI Data Manager', u'Solutions BI Consultant', u'MIS Manager', u'MIS Team Leader', u'MIS Developer', u'Team Leader', u'Point of Contact', u'Technical Assistant', u'Call Centre Agent', u'Technical Assistant']",Senior Manager Robotics,"[u'MIS Manager', u'BI Manager-Head of Reporting and Analytics']","[u'Extract, Transform, Load (Etl)', u'Data Modelling', u'Sql Reporting Services 2005,2008', u'Troubleshooting', u'Sql Server 2005', u'Sql Server 2008', u'Microsoft Office', u'Sql Server 2000', u'Planning And Implementing Database Solutions', u'Business Strategy', u'Data process management', u'Business Intelligence design and strategy', u'Process Re-engineering', u'Innovation', u'Optimization', u'Dynamic T-Sql', u'Data Trend And Analysis', u'Data Warehousing, Star And Snowflake Schema', u'Microsoft Excel (Vba)', u'Planning, Organising, Leading And Controlling', u'Database Administration', u'Macromedia Dreamweaver', u'Web Development', u'Process Optimization', u'System Development', u'Sql 2005 Intergration Services', u'Application Development', u'Macromedia Fireworks', u'Avaya Cms']",1563
1563,"[u'Project Management', u'Matric']","[u'Credit Direct', u'Desmond Tutu TB Centre', u'Fairheads Trust Company', u'Foschinidata', u'Foschini Data', u'ISU Campus', u'Legal Nexus', u'Lipco LAW for All', u'Metropolitan Life', u'Mobility Methods', u'Nedcor', u'Old Mutual Asset Managers', u'Old Mutual Group Schemes', u'The Appleton Group', u'Woolworths']","[u'Analyst/Programmer', u'Clinical Data Manager']","[u'Technician Analyst Developer', u'Web Site Intranet Developer DBA VB Developme', u'SQL Sybase DBA Analyst Programmer', u'Analyst Programmer', u'Analyst Programmer', u'Visual Basic Access Developer', u'Visual Basic Developer', u'Analyst Programmer', u'Analyst Programmer', u'Development Manager', u'Analyst Programmer', u'Developer Lecturer', u'Analyst Programmer', u'Administrative Clerk Data Capturer Programmer']",Data Manager,"[u'Analyst Developer', u'IT Manager Analyst Developer']","[u'Dbase I, Ii , Iii', u'Visual Basic', u'Access', u'Flash', u'SQL Server', u'.NET', u'Project Management', u'STATS', u'data management', u'Sybase', u'mysql', u'Postgres', u'Programming Analysis And Design', u'Sequel Server', u'Clipper', u'Java Script/Vb Script/Xml/Html', u'ASP', u'Windows 2000', u'Informix', u'.NET', u'EXCEL', u'ACCESS', u'SQL', u'Progress', u'Cobol']",1564
1564,"[u'BSC Computer Science', u'Grade 12']","[u'Barloworld Automotive', u'Barloworld Automotive,Barloworld', u'Subaru (Barloworld)', u'Talota Solutions', u'Unified Data']",[u'Project manager'],"[u'IT Manager', u'Business Analyst Business Analyst Developer']",Project Manager,"[u'Regional IT Manager', u'Project Manager']","[u';MS Projects', u'Project Manager', u'; MS Office', u'IT Management', u'General Management', u'General management Skills', u'Business Analyst', u'; Visio']",1565
1565,"[u'Master of Computer Science', u'Checkpoint Certified Professional', u'Oracle Certified Professional - 11g', u'MCTS', u'Certificate In Oracle 10g Database Administration', u'Certificate In Sql Server 2005 Administration', u'Diploma In Telecommunications Systems', u'National Certificate In Information Technology']","[u'Information Security Architects (ISA)', u'Integra Zimbabwe', u'NMB Bank', u'NMB Bank Limited, Zimbabwe.']","[u'Information Security Specialist', u'IT Security Engineer', u'Enterprise Architect', u'Information Security Architect']",[u'Developer Lotus Notes'],Senior Security Specialist,"[u'IT Security Manager', u'Senior IT Administrator']","[u'Firewall Administration', u'Information Security Management', u'Network Security design', u'SIEM', u'IPS', u'VPN', u'Technology vulnerability assesments', u'Identity and Access Management', u'IT Risk Management', u'Linux', u'Windows Security', u'Application Delivery Controllers', u'LTE Security', u'Network Function Virtualization', u'UNIX', u'Oracle Database Security', u'3G Security', u'VB .NET', u'Delphi programming', u'Service management', u'C++', u'Project management', u'Java']",1566
1566,"[u'Bsc Honours', u'B.Sc', u'Senior Certificate']","[u'Jpmorgan', u'Sanlam Investments/Gensec']","[u'support analyst', u'system analyst', u'end user support', u'system analyst', u'end user support']",[],Analyst Developer,"[u'Application Support', u'Application Support']","[u'Developing Connex  Processes', u'Sql Development', u'System Analysis']",1567
1567,"[u'BSC Honours Applied Mathematics', u'BSc Applied Mathematics']","[u'ABSA Capital', u'Rand Merchant Bank (RMB)', u'Standard Bank - Corporate Investment Banking']",[u'Strategic Director'],"[u'VALUATIONS CONTROLLER', u'QUANTITATIVE ANALYST', u'FINANCIAL ENGINEER']",Change Manager,"[u'MARKET RISK SA-BUSINESS MANAGER', u'DEVELOPER ANALYST']","[u'VBA', u'JAVA', u'MUREX', u'FINANCIAL MATHEMATICS/FINANCIAL ENGINEERING', u'FRONT ARENA', u'CSHARP', u'MICROSOFT OFFICE', u'RISKWATCH', u'PROJECT MANAGEMENT/COORDINATION', u'CULTURE BUILDING/COLLABORATION', u'ABSTRACT THINKING', u'ANALYTICAL ABILITY', u'MANAGERIAL', u'STRATEGIC ABILITY']",1568
1568,[u'BSc Computer Science'],"[u'Axiom Systems Africa', u'Media24']","[u'Java Developer', u'Developer']",[],Software Developer,[u'Junior Software Developer'],"[u'JavaEE', u'Eclipse', u'Tomcat', u'Java', u'Hibernate', u'C#', u'SpringMVC', u'SQL', u'.NET', u'Visual Studio']",1569
1569,"[u'Mcse+Internet', u'B.Tech Fine Art']","[u'Freelance', u'Peoples Family LAW Centre', u'Ramsay SON & Parker', u'Scottish Enterprise']",[],[u'Intranet Webmaster Network Support'],Intranet Developer,"[u'Freelance ASP Developer', u'Website Developer']","[u'ASP', u'SQL', u'HTML', u'Vbscript', u'VBA', u'Jscript', u'Flash', u'Vb.Net']",1570
1570,[u'BA HDE'],"[u""The King's School"", u'Unlocking Potential SA']","[u'Training', u'Facilitator', u'Examiner', u'Education', u'HR', u'Knowledge Management', u'Leader', u'Lecturer', u'Lecturing', u'Manager', u'Negotiator', u'Organiser', u'Rector', u'Trainer', u'Change Manager', u'Life Coach', u'Administration Head', u'Project Leader', u'Curriculum Developer', u'Executive Manager', u'Scriptwriter']",[],Human Capital Prospector / Facilitator / Trainer / Curriculum Developer,[u'Headmaster'],"[u'Stakeholder Management', u'Effective Verbal and Written Communication', u'Creativity and Innovation', u'Strategic and Change management', u'Facilitation and presentation skills', u'Ability to manage under pressure', u'Skills Analysis: Development and facilitation', u'People and Diversity Management', u'Strategic thinking and Decision making', u'Problem solving and Decision making', u'Psychometric and Personality Assessor', u'Curriculum development and Facilitation', u'Project Management', u'Marketing and Event organization', u'Financial Management', u'Negotiation', u'mediation and arbitration', u'conciliation']",1571
1571,"[u'(B-Tech) Degree Part-Time', u'Flash Mx', u'Matric', u'National Diploma: Information Technology']","[u'Metropolitan Life', u'M-Web']",[],[],Web Application Developer,[u'Junior Web Programmer'],"[u'XML', u'CSS', u'Xslt', u'SQL', u'ADO', u'Database Design', u'Javascript', u'Visual Basic', u'Vbscript', u'ASP', u'HTML', u'Dhtml', u'C++', u'Flash Action Scripting', u'Cobol', u'Clarion', u'Photoshop \u2013Pro', u'C#.Net', u'Java']",1572
1572,"[u'PMD', u'C++ Programming (Distinction)']","[u'DVT (AltX listed company)', u'Innervation Value Added Services', u'Ixchange Technology Holdings', u'Rufus Leonard (London)', u'Solutional', u'Syntactica']","[u'Partner Manager', u'Sales Executive', u'Production Manager', u'CIO', u'Solutions Architect', u'Channel Manager', u'Technical Executive']","[u'Lead Developer', u'Senior Internet Analyst Programmer', u'Senior Programmer']",Partner Manager and Technology Manager,"[u'Business Devision Manager', u'Co-founder/director']","[u'BA', u'Business modeling', u'Technology Manager', u'Leadership', u'Architecture', u'Project Management', u'Integrations', u'Solution Sales', u'Technology Management', u'Development', u'Partnership Modeling', u'Solution Architecture', u'Product Manager', u'Business Development', u'Partner Management', u'Negotiations', u'Developer', u'Presentations', u'Database Development', u'Marketing', u'Business Process Design', u'Microsoft', u'System Design']",1573
1573,"[u'National Diploma in Information Technology', u'Matric']","[u'BQSystems', u'Divigns']","[u'Pragrammer', u'System Analyst']",[],Programmer,[u'Junior Software Developer'],"[u'debt collection', u'system analyst and design.', u'coding', u'web design', u'sql query', u'C# .NET MVC', u'elmah', u'javascript', u'html', u'web', u'css', u'Classic C# .NET', u'PHP', u'Front-End Designer', u'C# and PHP coding', u'Systems Analyst', u'scrum master', u'negotiation', u'product owner']",1574
1574,[u'National Diploma In Information Technology'],[u'Pastor MM Zulu'],[],[],Sound Engineer System Developer Housekeeper,[],"[u'Sound Engineering', u'Administration', u'Customer Service', u'Public Speaking']",1575
1575,"[u'Dimploma In Business Analysis', u'Certificate In Project Management', u'Nd: Information Technology']","[u'Balltron', u'Fair Isaac', u'WAM Technologies']",[],[],Business Consultant,"[u'Senior Systems Architect', u'Developer']","[u'Data Modelling', u'VB6', u'MS SQL Server 7 & 2000', u'Business Analysis', u'Requirement Gathering', u'Process Modelling', u'Workshop Facilitator', u'Configuration Management', u'.Net', u'UML', u'Oracle']",1576
1576,"[u'Diploma', u'Matric']","[u'100 Degrees', u'Canon', u'Compu-Kart Raceway', u'Eira Moura', u'Lime online', u'SEO']","[u'Web/Graphic Designer', u'Receptionist', u'Sales Representative', u'Junior Graphic Designer']","[u'Web & Graphic Designer', u'Web Developer', u'Designer Developer', u'Waitress']",Web and Graphic Designer,"[u'Sales Executive', u'Web Developer']","[u'HTML\r\nCSS \r\nWordpress\r\nAdobe Photoshop cs6\r\nAdobe Illustrator cs6\r\nAdobe inDesign cs6 \r\nMicrosoft Office 2013', u'Computer Skills', u'Website Design', u'Graphic Design', u'Sales', u'Social Media Marketing', u'On-Page SEO', u'Google Analytics', u'Google Adword', u'Javascript']",1577
1577,"[u'B Com Informatics', u'B Comm Banking']","[u'Belay Software Solutions', u'Dealernet', u'Discovery Health', u'Fedgroup', u'Fedics', u'NJA', u'Semper Supreme', u'Standard Bank']",[u'Developer'],"[u'Developer', u'Developer', u'Programmer', u'Programmer', u'Programmer', u'Commercial Accounts Officer']",Software Developer,"[u'Developer', u'Developer']","[u'Magic 8,9', u'SQL', u'C#', u'Vb.Net', u'Delphi', u'Plsql']",1578
1578,"[u'Iseb Intermediate Certification', u'Iseb Foundation Certification', u'Website Development', u'A+', u'Application Development And Networking', u'Light Current Electrical Engineering', u'Senior Certificate']","[u'Gijimaast', u'Sadc Publishing', u'Software Quality Systems', u'Software Testing Solutions']","[u'Technical Test Analyst', u'Software Test Consultant', u'Software Tester']",[u'Field Service Engineer'],Test Analyst,"[u'Software Test Consultant', u'Website Designer Developer & Graphic Designer']","[u'Services testing and automation', u'Load and performance testing', u'Service testing with SoapUI', u'UI Automation-Selenium Java', u'Selenium Automation', u'Services Automation', u'Load and Performance testing', u'Functional testing', u'Groovy', u'SQL']",1579
1579,[u'MS'],"[u'IBM', u'Qualex Consulting Services']",[u'SAP BODS Consultant'],[],BODS Developer,[u'BODS Consultant'],"[u'Hana', u'Bods', u'sql']",1580
1580,"[u'BSc.Tech', u'HSC']","[u'Accenture', u'Godrej', u'IBM']",[],[],Systems Analyst,"[u'Application Developer', u'Production Officer']","[u'SAP PP', u'Manufacturing', u'SAP PP-PI', u'COMMUNICATION', u'SAP APO SNP']",1581
1581,[u'Bachelor of Computer Science Engineering'],"[u'Ebullitent Info System', u'EC Software', u'FarShore', u'Robert Bosch']","[u'Android Developer', u'Project Manager IT', u'Mobile Application Developer']",[u'Java Web Developer'],Associate Project Manager,"[u'Android Developer', u'Android Apps Developer']","[u'j2ee', u'Android', u'java', u'Project management', u'team lead', u'Jsp', u'html 5', u'ajax', u'spring', u'JavaScript', u'ios', u'jquery']",1582
1582,[u'Information Technology'],[u'Dept: of Rural Development & Land Reform'],[u'C# Developer'],[],Application Developer,[],"[u'Programming In C#', u'Programming In Html 5 With Javascript And Css3', u'Developing Asp.Net Mvc 4 Web Applications']",1583
1583,"[u'B. Sc Hons (Computer Information Systems)', u'B.Com', u'Matric']","[u'Faranani Doctec,Faranani IT Services', u'South African Revenue Service (SARS)', u'Waymark Infotech']","[u'Senior', u'Manager', u'Application Developer', u'Documentum']",[],Functional Specialist,"[u'Senior Analyst Developer', u'Senior Analyst Developer']","[u'xPlore', u'Composer', u'Process Builder', u'Documentum Administration', u'Records', u'Documentum experience', u'Storage Services', u'Administrator', u'Websphere Application Server', u'Records Management', u'DFS', u'Content Services for SAP', u'Webtop', u'Documentum Content Server', u'Development and support of Documentum', u'Analysis', u'Captiva InputAccel', u'DFC']",1584
1584,[u'National Diploma Informatoin Technology'],"[u'DVT', u'Sanlam', u'Woolworths']","[u'Senior Java Developer', u'Senior Cobol Developer', u'Senior Cobol Developer']",[],Senior Java Developer,"[u'Lead Developer', u'Developer']","[u'Smartgwt', u'Application Development', u'Java', u'Eclipse', u'Grails', u'Cobol', u'Easytrieve', u'Roscoe', u'Websphere Application Server', u'Websphere Portal Server']",1585
1585,"[u'Issd', u'Matric']","[u'Immedia', u'Shandon Business Solutions']","[u'Android Developer', u'Java Developer', u'Java Developer']",[],Android Developer,[u'Android Developer'],[u'Android'],1586
1586,"[u'Bsc (Computer Science And Apllied Mathematics)', u'National Higher Certificate - Itblp']",[u'South African Reserve Bank'],[u'Java Developer'],[],Software Developer,[],"[u'XSD', u'HTML', u'CSS', u'XML', u'Xslt', u'Javascript', u'Jpa 2.0', u'Java Se 6 (Oracle Certified)', u'Java Se 5', u'Java Ee 5', u'Ejb 3.1', u'Java Ee 6', u'Websphere As 7.0.X', u'Object Oriented Analysis And Design', u'UML', u'Webservices', u'Jboss As 5 (Community)', u'Spring Framework', u'Mysql 5', u'Oracle Weblogic 12c', u'Mybatis', u'Hibernate', u'MS SQL 2005', u'Jsf 2.X', u'Jsf 1.2']",1587
1587,"[u'Bsc Software Engineering', u'Professional Scrum Master (Psm I)', u'Microsoft Certified Professional Developer (Mcpd)', u'Microsoft Certified Technology Specialist', u'Microsoft Certified Solution Developer', u'Microsoft Certified Technology Specialist']","[u'Synerics Business Solutions', u'Weblife Infochannel']",[],"[u'Senior Developer', u'Junior Developer']",Software Consultant Senior Developer,"[u'Product Architect', u'Development Team Lead']","[u'C#', u'Microsoft Sql Server Development & Administration', u'Html, Dhtml, Javascript, Css', u'Windows Batch Scripting', u'Xml, Xsl, Xpath', u'Design Patterns', u'Uml', u'Quickbooks Integration Experience', u'Asp 3 (Classic Asp)', u'Php, Python, Java, Visual Basic', u'C++']",1588
1588,"[u'Btech Information Technology', u'Nd: Information Technology', u'Grade 12']","[u'Ooba', u'Telkom']",[],[u'Full Desktop Management Support for Western Region'],Java Developer,"[u'Oracle PL SQL Developer', u'Data Architect']","[u'Javascript,Jsf, Jsp, Html, Gxt (Gwt)', u'Oracle Plsql', u'SQL', u'Jpa, Spring, Hibernate', u'Pl/Sql', u'Data Modelling', u'Data Analysis', u'Java Se', u'Oracle Bpel', u'Ejb 3.0(Javabeans, Mdb), J2ee, Web Services', u'Soap', u'Xml (Xsd, Xslt, Xsl)', u'Oracle Oc4j And Weblogic, Oracle Owsm', u'Data Mapping', u'Data Integration', u'Object Orientated Modelling', u'Uml 2', u'Business Process Modelling', u'XML', u'Data Migration', u'OCL', u'C#', u'Linux', u'Data Warehousing']",1589
